epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,193.677,0.71885,0.68899,1.30072,0.97116,0.97436,0.9777,0.77359,0.80116,0.63338,1.57797,0.0014456,0.0014456,0.0014456
44,198.17,0.75364,0.67254,1.29436,0.99303,0.97436,0.99402,0.7745,0.76907,0.60435,1.52631,0.0014324,0.0014324,0.0014324
45,202.615,0.67982,0.63663,1.2338,1,0.99804,0.995,0.81239,0.71277,0.52433,1.55092,0.0014192,0.0014192,0.0014192
46,206.997,0.72645,0.62551,1.28662,0.97319,1,0.99375,0.78566,0.75634,0.59885,1.58868,0.001406,0.001406,0.001406
47,211.527,0.68518,0.5971,1.24937,0.95892,0.94872,0.98825,0.78233,0.77207,0.67212,1.5854,0.0013928,0.0013928,0.0013928
48,216.083,0.68559,0.65315,1.28248,0.97488,0.99503,0.9945,0.79159,0.79954,0.63159,1.59949,0.0013796,0.0013796,0.0013796
49,220.512,0.74023,0.6512,1.29579,0.97113,1,0.9945,0.81437,0.72871,0.55384,1.56185,0.0013664,0.0013664,0.0013664
50,225.017,0.64631,0.56824,1.22416,0.97496,0.99834,0.99375,0.83406,0.68741,0.54921,1.50126,0.0013532,0.0013532,0.0013532
51,229.5,0.69608,0.64644,1.29416,0.99248,0.97436,0.99402,0.8151,0.75154,0.54139,1.56072,0.00134,0.00134,0.00134
52,233.997,0.67653,0.60036,1.27743,1,0.99667,0.995,0.82774,0.70407,0.57358,1.52423,0.0013268,0.0013268,0.0013268
53,238.499,0.70991,0.62983,1.25871,0.97239,0.97436,0.9928,0.80458,0.76243,0.60797,1.63952,0.0013136,0.0013136,0.0013136
54,243.043,0.67719,0.59997,1.24625,0.98457,0.97436,0.9906,0.77826,0.79152,0.61527,1.65352,0.0013004,0.0013004,0.0013004
55,247.48,0.6804,0.60532,1.24775,0.97429,0.97189,0.99186,0.79368,0.74899,0.56076,1.58754,0.0012872,0.0012872,0.0012872
